Date,Portfolio
2023-02-21,0.11899270009205766
2023-02-22,0.11905510363330216
2023-02-23,0.1189223760153618
2023-02-24,0.11743662975177235
2023-02-27,0.11651072374203533
2023-02-28,0.11625532205289159
2023-03-01,0.11511526049530746
2023-03-02,0.11467691606405862
2023-03-03,0.11381780161655246
2023-03-06,0.11388221780300821
2023-03-07,0.11475282789645931
2023-03-08,0.11475442724070307
2023-03-09,0.11477463729302985
2023-03-10,0.11517154918720031
2023-03-13,0.11578233246207963
2023-03-14,0.11575810181879868
2023-03-15,0.11411888790923305
2023-03-16,0.11364781296867334
2023-03-17,0.11236018989378622
2023-03-20,0.1123692491702025
2023-03-21,0.11144006265253756
2023-03-22,0.11051440405169857
2023-03-23,0.09584691080760534
2023-03-24,0.09566052021903364
2023-03-27,0.09607701865372045
2023-03-28,0.09566857043082622
2023-03-29,0.09566559312656128
2023-03-30,0.09557467060980779
2023-03-31,0.0957170548686739
2023-04-03,0.09573237888356248
2023-04-04,0.09565192290135045
2023-04-05,0.09533607393866178
2023-04-06,0.09538443590499326
2023-04-10,0.09485416571693374
2023-04-11,0.0948656893933483
2023-04-12,0.09100053150469639
2023-04-13,0.09086307602350112
2023-04-14,0.09204674070770934
2023-04-17,0.08884938944635658
2023-04-18,0.08871147344851238
2023-04-19,0.08858549012936322
2023-04-20,0.08855667631720535
2023-04-21,0.08859769075069936
2023-04-24,0.08863763218332407
2023-04-25,0.08713169850635591
2023-04-26,0.087400820047669
2023-04-27,0.08457202096834959
2023-04-28,0.0847252160828551
2023-05-01,0.0844457621242145
2023-05-02,0.08468229080015591
2023-05-03,0.08442762236970203
2023-05-04,0.08281313459682348
2023-05-05,0.08283364199892253
2023-05-08,0.08287196479272102
2023-05-09,0.08206647089605858
2023-05-10,0.08104448859485039
2023-05-11,0.08118733840120695
2023-05-12,0.08130732946466106
2023-05-15,0.08056650797275831
2023-05-16,0.08024380159962625
2023-05-17,0.07558337966098619
2023-05-18,0.07575076968457557
2023-05-19,0.0757283172985889
2023-05-22,0.07529866105370848
2023-05-23,0.07450905955623928
2023-05-24,0.07498201248540604
2023-05-25,0.07477338278452353
2023-05-26,0.07513815879204166
2023-05-30,0.07532465129959692
2023-05-31,0.07516213756477971
2023-06-01,0.07571781347230944
2023-06-02,0.0757304559911501
2023-06-05,0.0757088392023308
2023-06-06,0.07573241712059725
2023-06-07,0.0767020672130872
2023-06-08,0.07712776285309657
2023-06-09,0.07625382269993462
2023-06-12,0.07472680675992678
2023-06-13,0.07470268255702346
2023-06-14,0.07050468254321449
2023-06-15,0.07147151734896948
2023-06-16,0.07141966080044865
2023-06-20,0.07169661283899742
2023-06-21,0.0708198241139273
2023-06-22,0.07111838787748856
2023-06-23,0.07102143721650038
2023-06-26,0.0710035183915444
2023-06-27,0.07074863641599859
2023-06-28,0.0699627488323041
2023-06-29,0.0700137020178129
2023-06-30,0.06828271655911154
2023-07-03,0.06817913410585758
2023-07-05,0.06839194017111269
2023-07-06,0.06771283621854227
2023-07-07,0.06762069450645186
2023-07-10,0.06766822570025767
2023-07-11,0.06778717952415593
2023-07-12,0.06925892834458001
2023-07-13,0.06748517591515794
2023-07-14,0.06764613273789612
2023-07-17,0.06467296931156608
2023-07-18,0.06534999746400483
2023-07-19,0.0652661817278683
2023-07-20,0.06543196815184671
2023-07-21,0.06341728787856116
2023-07-24,0.0634587935438622
2023-07-25,0.0632544542670593
2023-07-26,0.063023840421043
2023-07-27,0.0636474459977055
2023-07-28,0.06447999667300507
2023-07-31,0.06397256461962535
2023-08-01,0.06469963252781025
2023-08-02,0.06503855476484321
2023-08-03,0.0651582549627887
2023-08-04,0.06440051809709336
2023-08-07,0.06437233903793177
2023-08-08,0.06440167425003873
2023-08-09,0.06413978450956682
2023-08-10,0.06381646503192753
2023-08-11,0.06337290066476838
2023-08-14,0.06266069115456951
2023-08-15,0.06326370144235724
2023-08-16,0.0638290058952853
2023-08-17,0.06361044188554905
2023-08-18,0.06350712359897753
2023-08-21,0.06355772973020689
2023-08-22,0.0618826330199997
2023-08-23,0.06258360391056532
2023-08-24,0.06315598778328234
2023-08-25,0.06313647348602666
2023-08-28,0.06330386359053225
2023-08-29,0.06538968045115386
2023-08-30,0.06516427946338253
2023-08-31,0.06504726009475978
2023-09-01,0.06505407540633669
2023-09-05,0.06533505395251757
2023-09-06,0.06526684407109465
2023-09-07,0.06482110349836001
2023-09-08,0.06440050712378996
2023-09-11,0.06377920648992673
2023-09-12,0.06392429007016458
2023-09-13,0.0639236772764379
2023-09-14,0.06404475380145216
2023-09-15,0.06413525457366653
2023-09-18,0.06427111651509304
2023-09-19,0.06416893435813652
2023-09-20,0.06425028369219506
2023-09-21,0.06620385263232062
2023-09-22,0.06622471337785286
2023-09-25,0.06535107533505431
2023-09-26,0.06648456682470334
2023-09-27,0.06682368272516799
2023-09-28,0.06678039852205216
2023-09-29,0.06711817200689363
2023-10-02,0.06747907829334614
2023-10-03,0.06791579860355236
2023-10-04,0.06835905897783051
2023-10-05,0.06758459031168838
2023-10-06,0.06759958707526884
2023-10-09,0.07035833030081078
2023-10-10,0.06941129198374549
2023-10-11,0.06996408644982759
2023-10-12,0.07051758806163663
2023-10-13,0.07279848288921764
2023-10-16,0.07187547971425223
2023-10-17,0.07058322532154888
2023-10-18,0.07057220679861376
2023-10-19,0.070353203783019
2023-10-20,0.07038239045791245
2023-10-23,0.07036903057666684
2023-10-24,0.06913229431459092
2023-10-25,0.0696046654442447
2023-10-26,0.06933107687656585
2023-10-27,0.06939434536718997
2023-10-30,0.06924483059187612
2023-10-31,0.06923581470037911
2023-11-01,0.06982338716433674
2023-11-02,0.07142789911089652
2023-11-03,0.0721640937862622
2023-11-06,0.07233130830800383
2023-11-07,0.07147981468514608
2023-11-08,0.07154236250143448
2023-11-09,0.07163274347098923
2023-11-10,0.07114085649867366
2023-11-13,0.07116025640880415
2023-11-14,0.07411179269414668
2023-11-15,0.07392714755952613
2023-11-16,0.07290755147301954
2023-11-17,0.07237810884579912
2023-11-20,0.07229914780431869
2023-11-21,0.07241277935978974
2023-11-22,0.07158387468762381
2023-11-24,0.07151676052618362
2023-11-27,0.07108690030778578
2023-11-28,0.07169956481057495
2023-11-29,0.07174681253174948
2023-11-30,0.07169528069016545
2023-12-01,0.07365700960798474
2023-12-04,0.07374144072096553
2023-12-05,0.07290978704018149
2023-12-06,0.07287737063696714
2023-12-07,0.07231257543084307
2023-12-08,0.07175275282650456
2023-12-11,0.07171615276906175
2023-12-12,0.07169823608478681
2023-12-13,0.07644411406495183
2023-12-14,0.07674359829593941
2023-12-15,0.07666369692732221
2023-12-18,0.0765837816877011
2023-12-19,0.0768379177629076
2023-12-20,0.07758255791911078
2023-12-21,0.07745143053303859
2023-12-22,0.07681892919012169
2023-12-26,0.07676287328664529
2023-12-27,0.07692106444167424
2023-12-28,0.07712670589336451
2023-12-29,0.0772505338766375
2024-01-02,0.07610311132826665
2024-01-03,0.07599157717380084
2024-01-04,0.07615553382588312
2024-01-05,0.07600963767232574
2024-01-08,0.07449621933264554
2024-01-09,0.0744721284242379
2024-01-10,0.07446317501003208
2024-01-11,0.07446427041096013
2024-01-12,0.07395683914336297
2024-01-16,0.0745030660027301
2024-01-17,0.07539121659111982
2024-01-18,0.07574736484811956
2024-01-19,0.0760677243338837
2024-01-22,0.07578427635137239
2024-01-23,0.07579444788867613
2024-01-24,0.07602028653042811
2024-01-25,0.07611043357056929
2024-01-26,0.07608213096832747
2024-01-29,0.07652984768496468
2024-01-30,0.07626369987909903
2024-01-31,0.07447791794757168
2024-02-01,0.07586391903946454
2024-02-02,0.07588704572908464
2024-02-05,0.07525902490794735
2024-02-06,0.07479133491442723
2024-02-07,0.07480986148092626
2024-02-08,0.07432870953411554
2024-02-09,0.07355829670349333
2024-02-12,0.07213163812481291
2024-02-13,0.0752105213652505
2024-02-14,0.0752923469640227
2024-02-15,0.07539295907918547
2024-02-16,0.07349608636471447
2024-02-20,0.07350021955719963
2024-02-21,0.07315892678473077
2024-02-22,0.07304895241666798
2024-02-23,0.0713148939203173
2024-02-26,0.07153787091415581
2024-02-27,0.07146875635781727
2024-02-28,0.07140885923450904
2024-02-29,0.07160381506982094
2024-03-01,0.07303880344349051
2024-03-04,0.07319147396792045
2024-03-05,0.07313223818278801
2024-03-06,0.07249904835299618
2024-03-07,0.072756647793553
2024-03-08,0.0727497857018121
2024-03-11,0.07278632049817198
2024-03-12,0.07285259733883298
2024-03-13,0.07254963552955909
2024-03-14,0.07189058609671663
2024-03-15,0.07183445113441596
2024-03-18,0.07152115880838501
2024-03-19,0.07154160717799303
2024-03-20,0.07221510093945986
2024-03-21,0.07172980980512797
2024-03-22,0.07191325701572866
2024-03-25,0.07197165174476841
2024-03-26,0.06935416153758989
2024-03-27,0.06967031236895932
2024-03-28,0.06958997133430501
2024-04-01,0.06962233979304003
2024-04-02,0.06960648676384289
2024-04-03,0.06962454481014979
2024-04-04,0.07033153387245197
2024-04-05,0.07119654002091329
2024-04-08,0.07108628809258445
2024-04-09,0.07076670366374713
2024-04-10,0.07309913214490896
2024-04-11,0.07413636042559492
2024-04-12,0.07408687425813272
2024-04-15,0.07179343704556554
2024-04-16,0.07187032282067854
2024-04-17,0.07217003391562865
2024-04-18,0.0721053339783943
2024-04-19,0.07161838164591865
2024-04-22,0.07217111656963465
2024-04-23,0.07229460392245768
2024-04-24,0.06763205523234359
2024-04-25,0.06720409683820318
2024-04-26,0.06728810184106168
2024-04-29,0.06724385642496207
2024-04-30,0.07055211803451528
2024-05-01,0.06981864756718131
2024-05-02,0.06940218892389846
2024-05-03,0.06985874181297808
2024-05-06,0.07039507546422864
2024-05-07,0.07021065090310806
2024-05-08,0.07010352093099216
2024-05-09,0.07091728016202042
2024-05-10,0.07056372845685177
2024-05-13,0.07026879938196436
2024-05-14,0.07041792560273605
2024-05-15,0.07202515419393588
2024-05-16,0.07218039408267639
2024-05-17,0.07247839618255829
2024-05-20,0.07247775449622201
2024-05-21,0.0724658583994639
2024-05-22,0.0735623139213006
2024-05-23,0.07478505921113617
2024-05-24,0.07386502430069297
2024-05-28,0.0735950121372852
2024-05-29,0.07438484372080399
2024-05-30,0.07439468831884553
2024-05-31,0.07440045374681004
2024-06-03,0.07444042562393999
2024-06-04,0.07429990936446983
2024-06-05,0.07548329415721382
2024-06-06,0.07498742034248132
2024-06-07,0.07959433427981302
2024-06-10,0.07935509732066634
2024-06-11,0.07807958214226206
2024-06-12,0.0782067389256578
2024-06-13,0.07748884203274484
2024-06-14,0.07760671549945594
2024-06-17,0.07761243492625802
2024-06-18,0.07767000726542649
2024-06-20,0.07772360405989207
2024-06-21,0.07844492758226826
2024-06-24,0.0753827010388645
2024-06-25,0.07524197473165667
2024-06-26,0.07541055021638306
2024-06-27,0.07557151958626417
2024-06-28,0.07583812344064027
2024-07-01,0.07582767800080513
2024-07-02,0.07515584612470295
2024-07-03,0.075824694311483
2024-07-05,0.07648470784700401
2024-07-08,0.07690130304736367
2024-07-09,0.0769032971452384
2024-07-10,0.07697284899161401
2024-07-11,0.07563977663689458
2024-07-12,0.07545687148206183
2024-07-15,0.07544693148999258
2024-07-16,0.07670569502078178
2024-07-17,0.077194155296637
2024-07-18,0.0779536182453749
2024-07-19,0.0796303950814103
2024-07-22,0.07969926178456417
2024-07-23,0.0796947960141508
2024-07-24,0.0811253395180571
2024-07-25,0.08164084899390765
2024-07-26,0.08263331561913241
2024-07-29,0.08260104477288749
2024-07-30,0.08177755321657404
2024-07-31,0.0844148808862389
2024-08-01,0.08473231401215386
2024-08-02,0.08485098707467298
2024-08-05,0.08838132728792629
2024-08-06,0.08797541934343557
2024-08-07,0.08784925660409651
2024-08-08,0.09003369814830903
2024-08-09,0.09010459579311605
2024-08-12,0.09052660862797401
2024-08-13,0.0905545489351969
2024-08-14,0.08980969855046618
2024-08-15,0.09005514535281302
2024-08-16,0.09099612399618813
2024-08-19,0.08930083781287596
2024-08-20,0.08828808528627721
2024-08-21,0.08695860072909681
2024-08-22,0.0882945577865416
2024-08-23,0.08927782240578674
2024-08-26,0.08906135470366343
2024-08-27,0.0890437441088622
2024-08-28,0.08940625445364195
2024-08-29,0.08879149008640225
2024-08-30,0.08869790707216413
2024-09-03,0.08956789035867405
2024-09-04,0.0895545070187582
2024-09-05,0.08929561878371323
